year,statefips,date1,ozone
2011,28,07jan2011,39.245529
2011,29,07jan2011,32.856655
2011,30,07jan2011,34.137577
2011,31,07jan2011,34.705811
2011,32,07jan2011,21.421797
2011,33,07jan2011,35.995228
2011,34,07jan2011,16.263311
2011,35,07jan2011,37.621063
2011,36,07jan2011,19.262003
2011,37,07jan2011,31.514547
2011,38,07jan2011,35.177238
2011,39,07jan2011,28.262253
2011,40,07jan2011,36.435226
2011,41,07jan2011,19.638874
2011,42,07jan2011,26.000763
2011,44,07jan2011,29.977411
2011,45,07jan2011,35.337399
2011,46,07jan2011,38.251083
2011,47,07jan2011,32.843845
2011,48,07jan2011,37.189762
2011,49,07jan2011,23.882675
2011,50,07jan2011,37.762314
2011,51,07jan2011,32.574821
2011,53,07jan2011,27.044083
2011,54,07jan2011,33.577953
2011,55,07jan2011,30.03068
2011,56,07jan2011,42.236881
2011,1,08jan2011,37.097836
2011,4,08jan2011,31.967819
2011,5,08jan2011,34.580341
2011,6,08jan2011,23.353142
2011,8,08jan2011,25.587572
2011,9,08jan2011,30.143105
2011,10,08jan2011,27.649256
2011,11,08jan2011,29.677244
2011,12,08jan2011,49.052689
2011,13,08jan2011,36.235477
2011,16,08jan2011,36.916729
2011,17,08jan2011,27.248539
2011,18,08jan2011,24.764492
2011,19,08jan2011,31.416273
2011,20,08jan2011,31.574385
2011,21,08jan2011,31.73148
2011,22,08jan2011,39.276241
2011,23,08jan2011,33.445549
2011,24,08jan2011,29.428635
2011,25,08jan2011,32.333118
2011,26,08jan2011,26.905083
2011,27,08jan2011,28.120922
2011,28,08jan2011,37.158691
2011,29,08jan2011,31.169683
2011,30,08jan2011,37.808678
2011,31,08jan2011,30.833954
2011,32,08jan2011,22.911837
2011,33,08jan2011,34.340443
2011,34,08jan2011,26.280106
2011,35,08jan2011,38.047142
2011,36,08jan2011,25.846264
2011,37,08jan2011,34.061279
2011,38,08jan2011,30.62335
2011,39,08jan2011,28.873482
2011,40,08jan2011,33.095692
2011,41,08jan2011,26.959095
2011,42,08jan2011,28.09045
2011,44,08jan2011,32.321362
2011,45,08jan2011,35.80909
2011,46,08jan2011,33.166237
2011,47,08jan2011,35.235348
2011,48,08jan2011,36.301426
2011,49,08jan2011,19.541613
2011,50,08jan2011,35.298016
2011,51,08jan2011,31.660837
2011,53,08jan2011,26.075644
2011,54,08jan2011,32.385441
2011,55,08jan2011,30.688786
2011,56,08jan2011,41.865322
2011,1,09jan2011,29.303787
2011,4,09jan2011,39.253922
2011,5,09jan2011,26.327654
2011,6,09jan2011,28.961483
2011,8,09jan2011,35.646317
2011,9,09jan2011,35.208771
2011,10,09jan2011,30.141068
2011,11,09jan2011,30.667147
2011,12,09jan2011,43.371681
2011,13,09jan2011,32.178768
2011,16,09jan2011,33.761452
2011,17,09jan2011,23.566277
2011,18,09jan2011,19.680571
2011,19,09jan2011,28.717384
2011,20,09jan2011,27.235687
2011,21,09jan2011,26.895866
2011,22,09jan2011,31.146658
2011,23,09jan2011,34.922615
2011,24,09jan2011,30.503305
2011,25,09jan2011,34.072533
2011,26,09jan2011,31.653364
2011,27,09jan2011,24.423304
2011,28,09jan2011,28.88426
2011,29,09jan2011,25.409634
2011,30,09jan2011,31.791462
2011,31,09jan2011,27.054405
2011,32,09jan2011,34.825294
2011,33,09jan2011,35.144642
2011,34,09jan2011,31.544699
2011,35,09jan2011,39.534374
2011,36,09jan2011,31.19459
2011,37,09jan2011,31.886784
2011,38,09jan2011,29.672544
2011,39,09jan2011,28.235851
2011,40,09jan2011,28.323835
2011,41,09jan2011,27.655081
2011,42,09jan2011,31.424753
2011,44,09jan2011,35.269657
2011,45,09jan2011,32.711418
2011,46,09jan2011,31.051886
2011,47,09jan2011,31.746946
2011,48,09jan2011,30.472895
2011,49,09jan2011,31.245996
2011,50,09jan2011,35.031559
2011,51,09jan2011,32.759434
2011,53,09jan2011,24.533859
2011,54,09jan2011,30.505714
2011,55,09jan2011,29.327322
2011,56,09jan2011,37.986298
2011,1,10jan2011,29.297241
2011,4,10jan2011,33.483173
2011,5,10jan2011,24.114817
2011,6,10jan2011,27.279951
2011,8,10jan2011,33.178661
2011,9,10jan2011,33.99604
2011,10,10jan2011,29.445074
2011,11,10jan2011,27.42613
2011,12,10jan2011,39.270844
2011,13,10jan2011,31.699463
2011,16,10jan2011,31.482389
2011,17,10jan2011,28.2861
2011,18,10jan2011,28.306366
2011,19,10jan2011,29.069921
2011,20,10jan2011,29.445898
2011,21,10jan2011,30.711065
2011,22,10jan2011,22.35405
2011,23,10jan2011,34.007992
2011,24,10jan2011,30.143599
2011,25,10jan2011,32.868374
2011,26,10jan2011,25.844576
2011,27,10jan2011,27.855713
2011,28,10jan2011,26.713449
2011,29,10jan2011,22.787697
2011,30,10jan2011,30.743895
2011,31,10jan2011,29.924501
2011,32,10jan2011,35.495171
2011,33,10jan2011,34.822193
2011,34,10jan2011,29.205866
2011,35,10jan2011,40.130253
2011,36,10jan2011,28.782295
2011,37,10jan2011,31.695873
2011,38,10jan2011,27.618721
2011,39,10jan2011,26.285154
2011,40,10jan2011,27.013245
2011,41,10jan2011,26.893686
2011,42,10jan2011,28.984053
2011,44,10jan2011,34.017174
2011,45,10jan2011,31.484848
2011,46,10jan2011,31.271837
2011,47,10jan2011,30.860229
2011,48,10jan2011,23.26425
2011,49,10jan2011,30.76296
2011,50,10jan2011,35.587269
2011,51,10jan2011,31.917051
2011,53,10jan2011,27.486649
2011,54,10jan2011,31.16996
2011,55,10jan2011,31.84034
2011,56,10jan2011,34.832088
2011,1,11jan2011,27.113628
2011,4,11jan2011,33.68182
2011,5,11jan2011,31.452742
2011,6,11jan2011,18.619482
2011,8,11jan2011,31.101488
2011,9,11jan2011,27.558643
2011,10,11jan2011,18.509933
2011,11,11jan2011,14.730865
2011,12,11jan2011,28.474209
2011,13,11jan2011,28.267603
2011,16,11jan2011,33.034821
2011,17,11jan2011,26.049089
2011,18,11jan2011,22.661367
2011,19,11jan2011,30.727303
2011,20,11jan2011,30.904713
2011,21,11jan2011,25.586079
2011,22,11jan2011,29.760752
2011,23,11jan2011,33.522167
2011,24,11jan2011,18.649874
2011,25,11jan2011,28.552227
2011,26,11jan2011,28.141418
2011,27,11jan2011,26.179028
2011,28,11jan2011,28.795576
2011,29,11jan2011,29.373463
2011,30,11jan2011,29.352463
2011,31,11jan2011,28.580933
2011,32,11jan2011,25.38245
2011,33,11jan2011,32.182716
2011,34,11jan2011,17.281597
2011,35,11jan2011,36.235214
2011,36,11jan2011,21.620037
2011,37,11jan2011,27.828524
2011,38,11jan2011,26.362049
2011,39,11jan2011,21.955803
2011,40,11jan2011,30.512175
2011,41,11jan2011,28.582912
2011,42,11jan2011,21.55427
2011,44,11jan2011,28.682283
2011,45,11jan2011,28.755606
2011,46,11jan2011,28.909693
2011,47,11jan2011,28.384447
2011,48,11jan2011,27.146612
2011,49,11jan2011,26.264553
2011,50,11jan2011,33.783447
2011,51,11jan2011,24.536324
2011,53,11jan2011,28.745363
2011,54,11jan2011,27.964348
2011,55,11jan2011,31.928978
2011,56,11jan2011,36.239288
2011,1,12jan2011,32.658394
2011,4,12jan2011,29.721956
2011,5,12jan2011,32.819584
2011,6,12jan2011,21.22304
2011,8,12jan2011,31.848989
2011,9,12jan2011,32.6563
2011,10,12jan2011,31.473614
2011,11,12jan2011,30.316452
2011,12,12jan2011,33.677746
2011,13,12jan2011,33.385487
2011,16,12jan2011,33.23967
2011,17,12jan2011,27.776932
2011,18,12jan2011,24.16205
2011,19,12jan2011,25.794037
2011,20,12jan2011,31.935425
2011,21,12jan2011,27.025331
2011,22,12jan2011,32.959564
2011,23,12jan2011,36.858238
2011,24,12jan2011,32.691486
2011,25,12jan2011,34.053013
2011,26,12jan2011,30.014645
2011,27,12jan2011,24.961264
2011,28,12jan2011,33.263226
2011,29,12jan2011,27.037649
2011,30,12jan2011,32.910828
2011,31,12jan2011,28.084381
2011,32,12jan2011,27.738329
2011,33,12jan2011,35.787838
2011,34,12jan2011,30.688669
2011,35,12jan2011,30.53908
2011,36,12jan2011,28.359423
2011,37,12jan2011,33.010452
2011,38,12jan2011,30.055799
2011,39,12jan2011,29.21928
2011,40,12jan2011,31.245403
2011,41,12jan2011,29.827869
2011,42,12jan2011,32.364182
2011,44,12jan2011,34.443798
2011,45,12jan2011,34.381252
2011,46,12jan2011,32.445
2011,47,12jan2011,31.495886
2011,48,12jan2011,28.051609
2011,49,12jan2011,19.694986
2011,50,12jan2011,36.153267
2011,51,12jan2011,31.558025
2011,53,12jan2011,28.70093
2011,54,12jan2011,31.458282
2011,55,12jan2011,33.236385
2011,56,12jan2011,41.077591
2011,1,13jan2011,33.669189
2011,4,13jan2011,34.023674
2011,5,13jan2011,31.982363
2011,6,13jan2011,19.085068
2011,8,13jan2011,34.079041
2011,9,13jan2011,34.341728
2011,10,13jan2011,33.701332
2011,11,13jan2011,32.216152
2011,12,13jan2011,35.761677
2011,13,13jan2011,33.096333
2011,16,13jan2011,29.080244
2011,17,13jan2011,20.168581
2011,18,13jan2011,18.932423
2011,19,13jan2011,29.949087
