year,statefips,countyfips,month,ozone
2011,17,17167,1,30.744562
2011,17,17169,1,31.895058
2011,17,17171,1,32.149815
2011,17,17173,1,29.497198
2011,17,17175,1,30.66626
2011,17,17177,1,32.158409
2011,17,17179,1,29.082018
2011,17,17181,1,30.49847
2011,17,17183,1,27.786123
2011,17,17185,1,28.788464
2011,17,17187,1,31.041924
2011,17,17189,1,29.661428
2011,17,17191,1,29.62219
2011,17,17193,1,29.791388
2011,17,17195,1,30.871132
2011,17,17197,1,27.285236
2011,17,17199,1,29.919886
2011,17,17201,1,30.474789
2011,17,17203,1,30.249489
2011,18,18001,1,28.41198
2011,18,18003,1,27.579771
2011,18,18005,1,25.074718
2011,18,18007,1,28.132177
2011,18,18009,1,27.0746
2011,18,18011,1,23.647789
2011,18,18013,1,24.873573
2011,18,18015,1,26.775238
2011,18,18017,1,27.049812
2011,18,18019,1,26.157784
2011,18,18021,1,25.691647
2011,18,18023,1,25.725458
2011,18,18025,1,28.047089
2011,18,18027,1,27.257233
2011,18,18029,1,27.023823
2011,18,18031,1,25.934467
2011,18,18033,1,29.30365
2011,18,18035,1,26.215157
2011,18,18037,1,27.4741
2011,18,18039,1,28.509153
2011,18,18041,1,27.073095
2011,18,18043,1,26.322088
2011,18,18045,1,27.046829
2011,18,18047,1,27.169712
2011,18,18049,1,27.76696
2011,18,18051,1,28.355423
2011,18,18053,1,26.658854
2011,18,18055,1,26.303272
2011,18,18057,1,22.138678
2011,18,18059,1,22.406752
2011,18,18061,1,28.026701
2011,18,18063,1,22.382549
2011,18,18065,1,26.013674
2011,18,18067,1,26.250246
2011,18,18069,1,27.564617
2011,18,18071,1,26.422752
2011,18,18073,1,27.737587
2011,18,18075,1,28.062624
2011,18,18077,1,27.403273
2011,18,18079,1,26.567299
2011,18,18081,1,22.060991
2011,18,18083,1,27.754171
2011,18,18085,1,28.34746
2011,18,18087,1,29.494112
2011,18,18089,1,24.071146
2011,18,18091,1,28.057598
2011,18,18093,1,26.399601
2011,18,18095,1,24.660969
2011,18,18097,1,19.785038
2011,18,18099,1,28.006653
2011,18,18101,1,26.944986
2011,18,18103,1,26.956808
2011,18,18105,1,25.181082
2011,18,18107,1,25.949585
2011,18,18109,1,23.483021
2011,18,18111,1,28.544556
2011,18,18113,1,29.195711
2011,18,18115,1,27.305466
2011,18,18117,1,27.249947
2011,18,18119,1,25.254917
2011,18,18121,1,26.241964
2011,18,18123,1,28.284286
2011,18,18125,1,27.827991
2011,18,18127,1,25.93281
2011,18,18129,1,29.205845
2011,18,18131,1,27.528097
2011,18,18133,1,25.070196
2011,18,18135,1,28.151627
2011,18,18137,1,27.260437
2011,18,18139,1,25.382944
2011,18,18141,1,28.408098
2011,18,18143,1,27.114498
2011,18,18145,1,23.528349
2011,18,18147,1,28.04493
2011,18,18149,1,27.445667
2011,18,18151,1,30.028347
2011,18,18153,1,26.907799
2011,18,18155,1,27.657915
2011,18,18157,1,26.334171
2011,18,18159,1,25.581553
2011,18,18161,1,27.944435
2011,18,18163,1,27.996283
2011,18,18165,1,26.829529
2011,18,18167,1,26.092607
2011,18,18169,1,27.389082
2011,18,18171,1,27.731834
2011,18,18173,1,27.929478
2011,18,18175,1,27.403837
2011,18,18177,1,27.942722
2011,18,18179,1,27.858597
2011,18,18181,1,27.394951
2011,18,18183,1,28.293011
2011,19,19001,1,32.974876
2011,19,19003,1,32.450333
2011,19,19005,1,32.80624
2011,19,19007,1,31.87595
2011,19,19009,1,33.559589
2011,19,19011,1,31.806528
2011,19,19013,1,31.844009
2011,19,19015,1,32.435997
2011,19,19017,1,32.490555
2011,19,19019,1,32.276039
2011,19,19021,1,34.432491
2011,19,19023,1,32.720058
2011,19,19025,1,33.921883
2011,19,19027,1,33.557301
2011,19,19029,1,33.008797
2011,19,19031,1,31.061989
2011,19,19033,1,33.1134
2011,19,19035,1,34.383247
2011,19,19037,1,32.880848
2011,19,19039,1,31.681187
2011,19,19041,1,34.597481
2011,19,19043,1,32.249172
2011,19,19045,1,30.401257
2011,19,19047,1,33.608707
2011,19,19049,1,32.072876
2011,19,19051,1,31.950415
2011,19,19053,1,31.597073
2011,19,19055,1,32.104183
2011,19,19057,1,31.215605
2011,19,19059,1,34.692509
2011,19,19061,1,30.793764
2011,19,19063,1,34.681675
2011,19,19065,1,32.781353
2011,19,19067,1,32.772911
2011,19,19069,1,33.19846
2011,19,19071,1,31.529116
2011,19,19073,1,33.278759
2011,19,19075,1,32.485016
2011,19,19077,1,33.353203
2011,19,19079,1,33.123386
2011,19,19081,1,34.236214
2011,19,19083,1,32.85009
2011,19,19085,1,32.280365
2011,19,19087,1,31.797445
2011,19,19089,1,33.381889
2011,19,19091,1,34.201752
2011,19,19093,1,34.001297
2011,19,19095,1,31.683338
2011,19,19097,1,31.086515
2011,19,19099,1,31.663658
2011,19,19101,1,31.836332
2011,19,19103,1,30.887642
2011,19,19105,1,31.574131
2011,19,19107,1,32.001553
2011,19,19109,1,34.460243
2011,19,19111,1,31.699991
2011,19,19113,1,30.720924
2011,19,19115,1,31.43951
2011,19,19117,1,31.754873
2011,19,19119,1,35.55397
2011,19,19121,1,32.298611
2011,19,19123,1,31.849012
2011,19,19125,1,31.707354
2011,19,19127,1,31.851786
2011,19,19129,1,30.897438
2011,19,19131,1,32.976002
2011,19,19133,1,32.803909
2011,19,19135,1,31.771208
2011,19,19137,1,32.355858
2011,19,19139,1,30.858828
2011,19,19141,1,34.958122
2011,19,19143,1,35.21254
2011,19,19145,1,32.087612
2011,19,19147,1,34.657467
2011,19,19149,1,34.21804
2011,19,19151,1,34.563591
2011,19,19153,1,30.905746
2011,19,19155,1,30.364548
2011,19,19157,1,31.798864
2011,19,19159,1,32.186253
2011,19,19161,1,33.930973
2011,19,19163,1,29.626225
2011,19,19165,1,33.373737
2011,19,19167,1,35.045605
2011,19,19169,1,31.922554
2011,19,19171,1,32.00568
2011,19,19173,1,32.428738
2011,19,19175,1,32.443775
2011,19,19177,1,31.967072
2011,19,19179,1,31.670994
2011,19,19181,1,31.383009
2011,19,19183,1,32.108124
2011,19,19185,1,31.710241
2011,19,19187,1,33.620205
2011,19,19189,1,34.2938
2011,19,19191,1,33.296379
2011,19,19193,1,33.083218
2011,19,19195,1,33.307465
2011,19,19197,1,33.792114
2011,20,20001,1,33.12468
2011,20,20003,1,33.10125
2011,20,20005,1,32.30447
2011,20,20007,1,32.99559
2011,20,20009,1,33.210918
2011,20,20011,1,32.728329
2011,20,20013,1,32.451973
2011,20,20015,1,32.697178
2011,20,20017,1,33.393021
2011,20,20019,1,33.676453
2011,20,20021,1,33.067921
2011,20,20023,1,34.219116
2011,20,20025,1,32.869469
2011,20,20027,1,33.691204
2011,20,20029,1,32.713993
2011,20,20031,1,33.214188
2011,20,20033,1,32.980213
2011,20,20035,1,33.614719
2011,20,20037,1,33.122314
2011,20,20039,1,34.235863
2011,20,20041,1,33.249344
2011,20,20043,1,31.960564
2011,20,20045,1,31.265442
2011,20,20047,1,33.41032
2011,20,20049,1,33.590816
2011,20,20051,1,34.066299
2011,20,20053,1,33.008015
2011,20,20055,1,32.474491
2011,20,20057,1,33.218441
2011,20,20059,1,32.346024
2011,20,20061,1,33.604527
2011,20,20063,1,34.747944
2011,20,20065,1,34.398804
2011,20,20067,1,32.259937
2011,20,20069,1,33.079102
2011,20,20071,1,34.850101
2011,20,20073,1,33.423359
2011,20,20075,1,33.8955
2011,20,20077,1,32.62606
2011,20,20079,1,31.035549
2011,20,20081,1,31.946623
2011,20,20083,1,34.063927
2011,20,20085,1,33.011261
2011,20,20087,1,32.247623
2011,20,20089,1,32.586151
2011,20,20091,1,28.080633
2011,20,20093,1,33.057693
2011,20,20095,1,32.787975
2011,20,20097,1,33.077511
2011,20,20099,1,33.293434
2011,20,20101,1,34.612915
2011,20,20103,1,30.954165
2011,20,20105,1,33.246658
2011,20,20107,1,32.756405
2011,20,20109,1,35.043491
2011,20,20111,1,33.22805
2011,20,20113,1,31.943947
2011,20,20115,1,32.878254
2011,20,20117,1,33.225857
2011,20,20119,1,32.59481
2011,20,20121,1,31.818493
2011,20,20123,1,32.74754
2011,20,20125,1,32.786613
2011,20,20127,1,34.021797
2011,20,20129,1,34.760464
2011,20,20131,1,33.023384
2011,20,20133,1,33.062084
2011,20,20135,1,34.556095
2011,20,20137,1,33.835823
2011,20,20139,1,33.185871
2011,20,20141,1,33.635006
2011,20,20143,1,32.834061
2011,20,20145,1,33.61026
2011,20,20147,1,33.605854
