year,statefips,date1,pm
2011,5,08jan2011,4.6697407
2011,6,08jan2011,16.837214
2011,8,08jan2011,15.058378
2011,9,08jan2011,13.144377
2011,10,08jan2011,15.166837
2011,11,08jan2011,9.3611965
2011,12,08jan2011,6.8336253
2011,13,08jan2011,5.9874034
2011,16,08jan2011,14.081545
2011,17,08jan2011,4.2256513
2011,18,08jan2011,6.3611712
2011,19,08jan2011,5.8207712
2011,20,08jan2011,6.7919636
2011,21,08jan2011,6.6320138
2011,22,08jan2011,7.0464697
2011,23,08jan2011,6.3648386
2011,24,08jan2011,10.684278
2011,25,08jan2011,9.9720173
2011,26,08jan2011,9.3660955
2011,27,08jan2011,11.175365
2011,28,08jan2011,5.6987839
2011,29,08jan2011,5.5681562
2011,30,08jan2011,5.2819462
2011,31,08jan2011,7.0372891
2011,32,08jan2011,9.9582109
2011,33,08jan2011,7.7158928
2011,34,08jan2011,19.346373
2011,35,08jan2011,7.3294287
2011,36,08jan2011,15.666564
2011,37,08jan2011,5.8987164
2011,38,08jan2011,7.1645851
2011,39,08jan2011,10.452684
2011,40,08jan2011,6.2809291
2011,41,08jan2011,8.882021
2011,42,08jan2011,18.22201
2011,44,08jan2011,11.260208
2011,45,08jan2011,4.6662493
2011,46,08jan2011,6.7085447
2011,47,08jan2011,5.3471651
2011,48,08jan2011,7.9314899
2011,49,08jan2011,49.744495
2011,50,08jan2011,8.6532593
2011,51,08jan2011,8.3161497
2011,53,08jan2011,5.4151473
2011,54,08jan2011,8.0556831
2011,55,08jan2011,6.1161542
2011,56,08jan2011,9.1635199
2011,1,09jan2011,5.8383946
2011,4,09jan2011,12.029106
2011,5,09jan2011,5.2575808
2011,6,09jan2011,14.556582
2011,8,09jan2011,8.303359
2011,9,09jan2011,5.1157618
2011,10,09jan2011,9.6964502
2011,11,09jan2011,7.2124977
2011,12,09jan2011,6.7091146
2011,13,09jan2011,5.4561467
2011,16,09jan2011,11.906128
2011,17,09jan2011,10.533603
2011,18,09jan2011,14.697334
2011,19,09jan2011,11.491427
2011,20,09jan2011,6.809474
2011,21,09jan2011,11.354181
2011,22,09jan2011,5.0762897
2011,23,09jan2011,3.5169556
2011,24,09jan2011,7.3987584
2011,25,09jan2011,5.0878286
2011,26,09jan2011,9.4171724
2011,27,09jan2011,18.231003
2011,28,09jan2011,5.010241
2011,29,09jan2011,7.286684
2011,30,09jan2011,5.6286349
2011,31,09jan2011,5.6433754
2011,32,09jan2011,11.04675
2011,33,09jan2011,4.0874944
2011,34,09jan2011,7.5555773
2011,35,09jan2011,5.6000118
2011,36,09jan2011,6.5024748
2011,37,09jan2011,6.6827197
2011,38,09jan2011,6.857882
2011,39,09jan2011,13.520501
2011,40,09jan2011,7.6872048
2011,41,09jan2011,10.730705
2011,42,09jan2011,8.685708
2011,44,09jan2011,5.2680225
2011,45,09jan2011,5.4746842
2011,46,09jan2011,7.439538
2011,47,09jan2011,6.7568765
2011,48,09jan2011,5.9507155
2011,49,09jan2011,20.948708
2011,50,09jan2011,4.799655
2011,51,09jan2011,6.3915806
2011,53,09jan2011,7.6279721
2011,54,09jan2011,9.9736214
2011,55,09jan2011,12.530206
2011,56,09jan2011,5.7103281
2011,1,10jan2011,6.3657136
2011,4,10jan2011,9.1222878
2011,5,10jan2011,8.8658581
2011,6,10jan2011,13.704163
2011,8,10jan2011,7.9304767
2011,9,10jan2011,4.1520891
2011,10,10jan2011,7.7163367
2011,11,10jan2011,10.524091
2011,12,10jan2011,7.8506608
2011,13,10jan2011,6.6599865
2011,16,10jan2011,9.3338423
2011,17,10jan2011,16.213568
2011,18,10jan2011,12.260618
2011,19,10jan2011,13.47543
2011,20,10jan2011,10.292446
2011,21,10jan2011,9.324419
2011,22,10jan2011,7.8037372
2011,23,10jan2011,5.3018427
2011,24,10jan2011,8.1112747
2011,25,10jan2011,5.3099976
2011,26,10jan2011,11.708596
2011,27,10jan2011,15.408243
2011,28,10jan2011,6.7658529
2011,29,10jan2011,13.172886
2011,30,10jan2011,7.2441754
2011,31,10jan2011,10.322913
2011,32,10jan2011,9.267416
2011,33,10jan2011,4.9212518
2011,34,10jan2011,6.4627237
2011,35,10jan2011,4.4461651
2011,36,10jan2011,6.0292926
2011,37,10jan2011,7.8992043
2011,38,10jan2011,9.0562668
2011,39,10jan2011,14.522257
2011,40,10jan2011,9.1563215
2011,41,10jan2011,7.1926532
2011,42,10jan2011,11.14214
2011,44,10jan2011,4.2356052
2011,45,10jan2011,6.7039847
2011,46,10jan2011,10.655433
2011,47,10jan2011,8.474843
2011,48,10jan2011,7.8030639
2011,49,10jan2011,12.874632
2011,50,10jan2011,5.1138315
2011,51,10jan2011,8.4736357
2011,53,10jan2011,7.9083676
2011,54,10jan2011,11.261128
2011,55,10jan2011,15.624466
2011,56,10jan2011,7.2063861
2011,1,11jan2011,8.4414282
2011,4,11jan2011,9.0054808
2011,5,11jan2011,9.8151875
2011,6,11jan2011,11.626674
2011,8,11jan2011,13.313027
2011,9,11jan2011,9.0806503
2011,10,11jan2011,10.405686
2011,11,11jan2011,12.905835
2011,12,11jan2011,7.7604098
2011,13,11jan2011,7.9781351
2011,16,11jan2011,8.80126
2011,17,11jan2011,11.519647
2011,18,11jan2011,14.322535
2011,19,11jan2011,14.616998
2011,20,11jan2011,10.500496
2011,21,11jan2011,11.756658
2011,22,11jan2011,7.8057351
2011,23,11jan2011,7.1471281
2011,24,11jan2011,13.074306
2011,25,11jan2011,10.22785
2011,26,11jan2011,10.445163
2011,27,11jan2011,12.15706
2011,28,11jan2011,8.3589334
2011,29,11jan2011,13.839425
2011,30,11jan2011,7.8923063
2011,31,11jan2011,10.038275
2011,32,11jan2011,10.872815
2011,33,11jan2011,9.1622505
2011,34,11jan2011,11.037512
2011,35,11jan2011,6.8928761
2011,36,11jan2011,9.8224735
2011,37,11jan2011,8.5702486
2011,38,11jan2011,7.9720054
2011,39,11jan2011,15.436565
2011,40,11jan2011,8.7531748
2011,41,11jan2011,7.5919628
2011,42,11jan2011,14.8154
2011,44,11jan2011,10.433956
2011,45,11jan2011,7.9565167
2011,46,11jan2011,10.064593
2011,47,11jan2011,9.8106232
2011,48,11jan2011,8.276721
2011,49,11jan2011,15.363941
2011,50,11jan2011,8.2455177
2011,51,11jan2011,10.250485
2011,53,11jan2011,6.7137957
2011,54,11jan2011,10.49168
2011,55,11jan2011,8.0303545
2011,56,11jan2011,8.4080429
2011,1,12jan2011,10.065088
2011,4,12jan2011,8.8306932
2011,5,12jan2011,11.234315
2011,6,12jan2011,12.420839
2011,8,12jan2011,23.034012
2011,9,12jan2011,5.4908819
2011,10,12jan2011,14.084677
2011,11,12jan2011,7.1979561
2011,12,12jan2011,7.1029053
2011,13,12jan2011,10.594257
2011,16,12jan2011,11.078309
2011,17,12jan2011,9.563446
2011,18,12jan2011,11.030666
2011,19,12jan2011,12.783416
2011,20,12jan2011,12.855429
2011,21,12jan2011,14.794827
2011,22,12jan2011,6.0918765
2011,23,12jan2011,3.4148681
2011,24,12jan2011,8.830719
2011,25,12jan2011,3.962333
2011,26,12jan2011,3.0470631
2011,27,12jan2011,7.7451253
2011,28,12jan2011,7.4068799
2011,29,12jan2011,12.144291
2011,30,12jan2011,10.852555
2011,31,12jan2011,10.718798
2011,32,12jan2011,9.4409771
2011,33,12jan2011,4.2511411
2011,34,12jan2011,11.076193
2011,35,12jan2011,7.3955407
2011,36,12jan2011,8.6130543
2011,37,12jan2011,7.8977509
2011,38,12jan2011,9.1854229
2011,39,12jan2011,8.1688871
2011,40,12jan2011,10.724612
2011,41,12jan2011,7.6560235
2011,42,12jan2011,12.11034
2011,44,12jan2011,3.6583445
2011,45,12jan2011,8.8348064
2011,46,12jan2011,10.964549
2011,47,12jan2011,10.543999
